Keyword;Position;Previous Position;Search Volume;Keyword Difficulty Index;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends;Timestamp
"long layered haircuts back view";"11";"17";"140";"77.05";"0.00";"http://hairstylefoto.com/layered-long-hairstyles-back-view/";"0.57";"0.00";"0.04";"0";"1.00,0.36,0.23,0.44,0.44,0.36,0.36,0.36,0.18,0.18,0.18,0.13";"1482832332"
"pin curl updo black hair";"11";"11";"110";"77.11";"0.00";"http://hairstylefoto.com/pin-curl-updo-black-hair/";"0.47";"0.00";"0.20";"521000";"0.79,0.79,1.00,0.79,0.64,0.64,0.64,0.79,0.64,0.64,0.64,1.00";"1482866990"
"short girly haircuts";"11";"11";"110";"76.18";"0.00";"http://hairstylefoto.com/short-girly-haircuts/short-girly-haircuts-photo-1/";"0.47";"0.00";"0.31";"3210000";"0.82,0.82,0.65,1.00,1.00,0.65,0.53,0.41,0.24,0.24,0.53,0.53";"1482874752"
"13 year old boy hairstyles";"9";"8";"170";"60.44";"6.21";"http://hairstylefoto.com/13-year-old-boy-hairstyles/";"0.47";"4.10";"0.04";"5670000";"0.53,0.53,0.34,0.53,0.81,1.00,0.81,0.53,0.66,0.22,0.22,0.28";"1482816582"
"hawaiian hairstyles";"16";"18";"1000";"74.78";"0.00";"http://hairstylefoto.com/hawaiian-wedding-hairstyles/";"0.47";"0.00";"0.10";"1130000";"0.42,0.54,1.00,0.79,0.54,0.42,0.30,0.20,0.13,0.16,0.16,0.20";"1484364301"
"cute brunette boys";"11";"10";"110";"76.37";"0.00";"http://hairstylefoto.com/cute-brunette-boys/";"0.47";"0.00";"0.00";"0";"1.00,0.65,0.82,0.82,0.82,0.65,0.53,0.65,0.53,0.82,0.65,0.65";"1482881092"
"cowgirl hairstyles";"15";"16";"1000";"70.11";"1.31";"http://hairstylefoto.com/cowgirl-hairstyles-for-long-hair/";"0.47";"0.79";"0.10";"15500000";"0.30,0.37,0.37,0.37,0.37,0.30,0.42,1.00,0.30,0.20,0.30,0.54";"1484343635"
"hairstyles for 13 year olds";"9";"19";"170";"84.50";"0.00";"http://hairstylefoto.com/13-year-old-girl-hairstyles/";"0.47";"0.00";"0.05";"1130000";"0.27,0.81,0.65,0.65,0.35,0.42,0.81,0.81,0.65,0.42,0.65,1.00";"1482817372"
"short wedge haircut";"14";"0";"720";"76.06";"0.25";"http://hairstylefoto.com/short-wedge-haircut/";"0.47";"0.13";"0.23";"554000";"0.55,0.55,0.77,1.00,0.77,0.20,0.13,0.55,0.68,0.55,0.45,0.45";"1484365841"
"8 year old boy haircuts";"9";"13";"170";"73.00";"4.26";"http://hairstylefoto.com/12-year-old-boy-haircuts/";"0.47";"2.78";"0.09";"1480000";"0.53,0.44,0.44,0.44,0.53,1.00,0.53,0.53,0.44,0.44,0.66,1.00";"1482821099"
"country boy hairstyles";"6";"38";"110";"69.28";"0.00";"http://hairstylefoto.com/sexy-country-boy/";"0.47";"0.00";"0.19";"2270000";"0.81,0.54,0.35,0.27,0.19,0.19,0.15,0.54,0.81,1.00,0.54,0.15";"1482886580"
"country boy hairstyles";"5";"5";"110";"69.28";"0.00";"http://hairstylefoto.com/country-boy-hairstyles/";"0.47";"0.00";"0.19";"2270000";"0.81,0.54,0.35,0.27,0.19,0.19,0.15,0.54,0.81,1.00,0.54,0.15";"1482886580"
"hairstyles for sweet 15";"11";"19";"110";"78.90";"0.00";"http://hairstylefoto.com/sweet-15-hairstyles-for-long-hair/";"0.47";"0.00";"0.02";"3580000";"0.65,0.65,0.82,1.00,0.82,0.53,0.53,0.65,0.65,0.41,0.65,0.29";"1482874820"
"black teenage hairstyles 2012";"11";"0";"90";"79.97";"0.00";"http://hairstylefoto.com/teenage-hairstyles-for-black-girls/";"0.38";"0.00";"0.36";"6850000";"0.57,0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.14,0.71,0.71,0.71";"1481959791"
"cute sew in hairstyles";"15";"15";"880";"72.92";"0.00";"http://hairstylefoto.com/cute-sew-in-hairstyles-for-black-people/";"0.38";"0.00";"0.06";"1650000";"0.25,0.25,0.42,0.54,0.79,1.00,0.37,0.16,0.09,0.13,0.25,0.42";"1484355154"
"punk rock hairstyles for long hair";"11";"10";"90";"71.95";"0.00";"http://hairstylefoto.com/punk-hairstyle-for-long-hair/";"0.38";"0.00";"0.33";"915000";"0.65,0.53,0.41,0.29,0.65,0.65,0.53,1.00,0.41,0.29,0.41,0.29";"1482905028"
"long bob weave";"15";"15";"880";"71.46";"0.25";"http://hairstylefoto.com/long-bob-weave-hairstyles/";"0.38";"0.13";"0.05";"69400000";"0.17,0.21,0.25,0.25,0.31,0.38,0.46,0.53,0.68,0.84,0.68,1.00";"1484311566"
"stacked bob with bangs";"16";"20";"880";"76.86";"0.35";"http://hairstylefoto.com/long-stacked-bob-with-bangs/";"0.38";"0.13";"0.05";"6210000";"0.77,1.00,0.45,0.30,0.30,0.30,0.68,0.77,1.00,0.77,0.68,0.30";"1484332679"
"pretty girls with black hair";"13";"14";"480";"85.45";"0.00";"http://hairstylefoto.com/pretty-girls-with-black-hair/";"0.38";"0.00";"0.01";"30900000";"0.66,0.81,0.66,1.00,1.00,0.81,0.66,0.66,0.66,0.81,0.66,0.54";"1484366981"
"black long hairstyles with bangs and layers";"16";"19";"880";"81.11";"0.00";"http://hairstylefoto.com/black-long-hairstyles-with-bangs-and-layers/";"0.38";"0.00";"0.00";"13900000";"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00";"1484351820"
"short v haircut";"8";"10";"140";"83.77";"0.00";"http://hairstylefoto.com/short-v-haircut/";"0.38";"0.00";"0.03";"3860000";"0.82,0.82,0.65,1.00,0.82,1.00,0.53,0.82,0.65,0.82,0.82,0.82";"1482831897"
"roaring 20s hairstyle";"11";"15";"90";"79.29";"0.00";"http://hairstylefoto.com/roaring-20s-long-hairstyles/";"0.38";"0.00";"0.23";"399000";"0.27,0.12,0.19,0.12,0.08,0.08,0.12,0.65,0.54,0.19,0.35,1.00";"1482895608"
"11 year old boy haircuts";"10";"11";"140";"73.26";"2.48";"http://hairstylefoto.com/11-year-old-boy-haircuts/";"0.38";"1.32";"0.07";"1680000";"0.35,0.35,0.54,0.54,0.42,0.65,0.42,0.54,0.81,0.54,0.81,1.00";"1482826516"
"girly haircuts";"9";"10";"140";"75.85";"0.00";"http://hairstylefoto.com/short-girly-haircuts/";"0.38";"0.00";"0.02";"1050000";"0.82,0.82,0.82,1.00,1.00,1.00,0.53,0.41,0.53,0.65,0.65,0.53";"1482830326"
"12 year old hairstyles";"12";"13";"320";"82.21";"0.00";"http://hairstylefoto.com/12-year-old-boy-haircuts/";"0.38";"0.00";"0.02";"4930000";"0.81,0.67,0.81,0.81,0.81,1.00,0.67,0.54,0.54,0.54,0.67,0.44";"1484380430"
"african american flower girl hairstyles";"11";"13";"90";"75.52";"0.00";"http://hairstylefoto.com/african-american-flower-girl-hairstyles/";"0.38";"0.00";"0.07";"877000";"0.53,0.65,0.65,0.82,1.00,0.82,0.65,0.41,0.29,0.24,0.29,0.41";"1482902335"
"indian lady hairstyle long hair";"11";"0";"90";"83.94";"0.00";"http://hairstylefoto.com/indian-ladies-hairstyles-for-long-hair/";"0.38";"0.00";"0.07";"1050000";"0.20,1.00,0.20,0.40,0.20,0.20,0.20,0.20,0.20,0.60,0.20,1.00";"1481912556"
"unique long haircuts";"10";"9";"140";"80.09";"0.00";"http://hairstylefoto.com/unique-long-haircuts/";"0.38";"0.00";"0.00";"27900000";"1.00,1.00,0.64,1.00,1.00,1.00,1.00,0.50,0.79,0.79,1.00,1.00";"1482833721"
"black n red hairstyles";"11";"0";"90";"77.52";"0.00";"http://hairstylefoto.com/black-n-red-hair/";"0.38";"0.00";"0.06";"6220000";"0.22,0.78,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.78";"1481955511"
"american girl doll hairstyles for long hair";"11";"0";"90";"72.37";"0.00";"http://hairstylefoto.com/american-girl-doll-hairstyle/";"0.38";"0.00";"0.06";"3980000";"0.29,0.29,0.29,0.41,0.53,0.53,0.29,0.41,0.82,1.00,0.65,0.41";"1482901238"
"sew in hairstyles";"43";"66";"14800";"73.10";"0.75";"http://hairstylefoto.com/black-weave-sew-in-hairstyles/";"0.38";"0.39";"0.11";"603000";"0.67,0.45,0.37,0.24,0.45,0.45,0.67,0.45,0.24,0.24,0.45,1.00";"1485365358"
"cute hairstyles for a 13 year old";"11";"0";"90";"78.45";"0.00";"http://hairstylefoto.com/13-year-old-girl-hairstyles/";"0.38";"0.00";"0.00";"7660000";"0.57,0.43,1.00,0.29,1.00,1.00,0.14,0.57,0.14,0.43,0.43,0.43";"1481942834"
"basketball hairstyles for girls";"11";"12";"90";"85.51";"0.00";"http://hairstylefoto.com/basketball-hairstyles-for-girls/";"0.38";"0.00";"0.03";"14600000";"0.19,0.19,0.15,0.19,0.15,0.08,0.12,0.27,0.54,0.65,1.00,0.54";"1482906858"
"cute boys with brown hair";"12";"0";"320";"76.44";"0.00";"http://hairstylefoto.com/cute-boys-with-brown-hair/";"0.38";"0.00";"0.00";"30800000";"0.81,0.67,0.67,0.67,0.81,1.00,0.54,0.44,0.54,0.54,0.54,0.44";"1484383278"
"13 year old boy haircuts";"10";"0";"140";"73.78";"2.25";"http://hairstylefoto.com/13-year-old-boy-hairstyles/";"0.38";"1.19";"0.07";"1520000";"0.16,0.22,0.28,0.28,0.22,0.34,0.16,0.22,0.34,0.81,1.00,0.81";"1482830199"
"names of shades of black";"10";"6";"140";"78.50";"0.00";"http://hairstylefoto.com/names-of-shades-of-black/";"0.38";"0.00";"0.01";"6870000";"0.34,0.28,0.34,0.28,0.28,0.28,0.28,0.34,0.34,0.34,0.66,1.00";"1482830970"
"peek a boo highlights on short hair";"11";"12";"90";"81.79";"0.00";"http://hairstylefoto.com/peekaboo-highlights-for-short-hair/";"0.38";"0.00";"0.09";"1100000";"0.36,1.00,0.36,0.18,0.10,0.13,0.08,0.05,0.13,0.13,0.18,0.08";"1482892288"
"long hairstyles back view";"11";"8";"70";"72.07";"0.00";"http://hairstylefoto.com/layered-long-hairstyles-back-view/";"0.28";"0.00";"0.02";"63100000";"0.64,0.64,0.64,0.45,1.00,0.64,0.64,0.64,0.45,0.64,0.45,0.64";"1482936848"
"black guy with blue eyes";"19";"23";"1300";"76.70";"0.00";"http://hairstylefoto.com/black-guys-with-blue-eyes/";"0.28";"0.00";"0.03";"14000000";"0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.81";"1484340752"
"long quick weave hairstyles";"13";"15";"390";"79.28";"0.00";"http://hairstylefoto.com/long-quick-weave-hairstyles-pictures/";"0.28";"0.00";"0.17";"674000";"0.44,0.29,0.36,0.82,1.00,0.54,0.24,0.44,0.82,1.00,0.67,0.29";"1484374551"
"black n red hair";"11";"16";"70";"82.55";"0.00";"http://hairstylefoto.com/black-n-red-hair/";"0.28";"0.00";"0.10";"38600000";"0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,1.00,0.78";"1482923930"
"bob hairstyles weave";"19";"19";"1000";"79.53";"0.00";"http://hairstylefoto.com/short-weave-bob-hairstyles/";"0.28";"0.00";"0.07";"0";"0.37,0.20,0.54,0.54,0.67,0.25,0.20,0.20,0.67,1.00,0.54,0.11";"1484345682"
"bob sew in hairstyles";"19";"24";"1000";"77.43";"0.03";"http://hairstylefoto.com/short-bob-sew-in-weave-hairstyles/";"0.28";"0.00";"0.24";"0";"0.79,0.54,0.67,0.16,0.25,0.37,0.20,0.79,1.00,0.37,0.30,0.20";"1484310727"
"sassy haircuts for fine hair";"11";"0";"70";"73.09";"1.13";"http://hairstylefoto.com/short-sassy-haircuts-for-fine-hair/";"0.28";"0.39";"0.35";"2460000";"0.24,0.24,0.43,0.19,0.43,0.05,0.10,0.33,1.00,0.19,0.19,0.24";"1481988682"
"8 year old girl haircuts";"6";"5";"70";"70.29";"3.70";"http://hairstylefoto.com/8-year-old-girl-haircuts/";"0.28";"1.58";"0.13";"3020000";"0.24,0.24,0.24,0.33,0.52,1.00,0.19,0.19,0.24,0.19,0.33,0.33";"1482943700"
"cute haircuts for 10 year old girls";"11";"0";"70";"77.95";"0.00";"http://hairstylefoto.com/8-year-old-girl-haircuts/";"0.28";"0.00";"0.20";"3450000";"0.24,0.24,0.19,0.05,0.19,0.05,0.33,0.33,0.10,0.19,1.00,0.10";"1482107497"
"long stacked bob";"20";"24";"1000";"80.74";"0.09";"http://hairstylefoto.com/long-stacked-bob-hairstyles/";"0.28";"0.00";"0.02";"0";"0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.68,0.77,0.77,0.77,1.00";"1484348002"
"tapered long hair";"8";"12";"110";"75.98";"0.00";"http://hairstylefoto.com/tapered-long-hair/";"0.28";"0.00";"0.00";"584000";"0.67,0.67,0.67,0.67,0.52,1.00,0.67,0.52,0.24,0.43,0.43,0.52";"1482887569"
"flapper hairstyles long hair";"11";"13";"70";"69.33";"0.00";"http://hairstylefoto.com/1920s-flapper-hairstyles-for-long-hair/";"0.28";"0.00";"0.21";"985000";"0.04,0.06,0.02,0.02,0.02,0.04,0.15,1.00,0.06,0.04,0.02,0.04";"1482920642"
"13 year old hairstyles for girls";"6";"0";"70";"88.50";"0.00";"http://hairstylefoto.com/13-year-old-girl-hairstyles/";"0.28";"0.00";"0.00";"4980000";"0.33,0.56,0.56,0.22,0.56,0.11,1.00,0.44,1.00,0.22,0.22,0.56";"1482126756"
"curly anime hair";"13";"10";"390";"79.35";"0.00";"http://hairstylefoto.com/anime-girls-with-curly-hair/";"0.28";"0.00";"0.04";"6850000";"0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.81,0.81,1.00,1.00";"1484382910"
"8 year old girl haircut";"7";"0";"90";"85.52";"0.00";"http://hairstylefoto.com/8-year-old-girl-haircuts/";"0.28";"0.00";"0.01";"3350000";"0.08,0.12,0.04,0.15,0.04,0.27,0.12,0.08,0.27,0.04,1.00,0.35";"1481966881"
"long hair on top short on sides";"19";"21";"1000";"74.07";"0.00";"http://hairstylefoto.com/long-on-top-short-on-sides-hairstyles-for-men/";"0.28";"0.00";"0.02";"6470000";"0.67,0.37,0.11,0.13,0.79,0.79,1.00,0.67,0.37,0.37,0.25,0.30";"1484344995"
"wrap hairstyles";"16";"20";"720";"79.05";"1.18";"http://hairstylefoto.com/black-roller-wrap-hairstyles/";"0.28";"0.52";"0.13";"1220000";"0.68,0.25,0.55,0.37,0.68,0.77,0.68,0.45,0.30,0.25,0.55,1.00";"1484310905"
"straight weave hairstyles";"18";"18";"1300";"74.34";"0.07";"http://hairstylefoto.com/black-straight-weave-hairstyles/";"0.28";"0.00";"0.79";"1060000";"0.46,0.68,0.84,0.84,0.68,0.84,0.84,0.84,0.84,1.00,0.68,0.53";"1484338811"
"black 70s hairstyles";"11";"9";"70";"81.19";"0.00";"http://hairstylefoto.com/black-70s-hairstyles/";"0.28";"0.00";"0.03";"15600000";"0.29,0.18,0.29,0.41,0.53,0.53,0.53,1.00,0.53,0.24,0.29,0.53";"1482935721"
"short black hair anime girl";"11";"0";"70";"84.05";"0.00";"http://hairstylefoto.com/anime-girl-with-short-black-hair/";"0.28";"0.00";"0.03";"7480000";"0.01,0.03,0.03,0.07,0.03,0.04,1.00,0.04,0.12,0.03,0.03,0.10";"1482035820"
"1920s long hairstyles";"13";"14";"390";"79.63";"0.11";"http://hairstylefoto.com/1920s-long-hairstyles/";"0.28";"0.00";"0.09";"8390000";"1.00,1.00,0.81,0.54,0.54,0.54,0.81,1.00,0.29,0.66,0.54,0.54";"1484368417"
"wedge haircuts";"15";"0";"720";"79.21";"0.41";"http://hairstylefoto.com/short-wedge-haircut/";"0.28";"0.13";"0.42";"545000";"1.00,1.00,1.00,0.82,1.00,1.00,1.00,1.00,0.67,0.82,0.82,0.82";"1484311024"
"hairstyles 13 year olds";"6";"0";"70";"88.01";"0.00";"http://hairstylefoto.com/13-year-old-girl-hairstyles/";"0.28";"0.00";"0.00";"985000";"0.56,0.44,0.78,0.33,0.78,0.11,0.44,0.56,0.11,0.78,0.78,1.00";"1482091864"
"dutch boy hair";"6";"5";"70";"77.18";"0.00";"http://hairstylefoto.com/dutch-boy-hairstyle/";"0.28";"0.00";"0.00";"1920000";"0.29,0.29,0.29,0.29,0.29,0.41,0.41,0.65,0.41,0.41,0.53,1.00";"1482917599"
"cute black kid";"10";"10";"110";"86.44";"0.00";"http://hairstylefoto.com/cute-black-kid/";"0.28";"0.00";"0.08";"49600000";"1.00,0.79,0.64,0.79,0.79,0.64,0.64,0.64,0.50,0.79,0.79,0.64";"1482885644"
"27 piece hairstyle";"19";"18";"1000";"71.44";"0.17";"http://hairstylefoto.com/long-27-piece-quick-weave-hairstyles/";"0.28";"0.00";"0.97";"1030000";"0.11,0.55,0.55,0.20,0.17,0.11,0.20,0.55,1.00,0.25,0.25,0.17";"1484347962"
"anime long hairstyles";"11";"9";"70";"71.94";"0.00";"http://hairstylefoto.com/anime-long-hairstyles/";"0.28";"0.00";"0.00";"3410000";"0.45,0.64,0.82,0.82,1.00,1.00,0.45,0.64,0.45,0.82,0.82,0.64";"1482934862"
"long straight sew in";"11";"12";"70";"79.74";"1.73";"http://hairstylefoto.com/long-straight-sew-in-hairstyles/";"0.28";"0.66";"0.05";"3540000";"0.79,0.79,0.29,0.29,0.50,0.36,0.36,0.36,0.50,0.79,0.64,1.00";"1482918703"
"11 year old boy hairstyles";"6";"15";"70";"60.94";"4.53";"http://hairstylefoto.com/11-year-old-boy-haircuts/";"0.28";"1.98";"0.07";"5760000";"1.00,0.36,0.64,0.45,1.00,0.82,0.45,0.45,0.45,0.27,0.45,0.64";"1482919711"
"black barbershop chart";"4";"0";"50";"50.57";"0.00";"http://hairstylefoto.com/black-barbershop-haircut-chart/";"0.28";"0.00";"0.06";"29000000";"0.78,0.44,1.00,0.33,1.00,0.11,0.56,0.56,0.22,1.00,1.00,1.00";"1482382979"
"black teenage hairstyles 2012";"10";"0";"90";"79.97";"0.00";"http://hairstylefoto.com/black-teenage-hairstyles-for-school/";"0.19";"0.00";"0.36";"6850000";"0.57,0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.14,0.71,0.71,0.71";"1481959791"
"black teenage hairstyles 2012";"9";"0";"90";"79.97";"0.00";"http://hairstylefoto.com/black-teenage-braided-hairstyles/";"0.19";"0.00";"0.36";"6850000";"0.57,0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.14,0.71,0.71,0.71";"1481959791"
"black updo hairstyles";"30";"0";"1600";"74.78";"0.26";"http://hairstylefoto.com/black-updo-hairstyles/";"0.19";"0.00";"0.34";"26800000";"0.55,1.00,0.83,0.34,0.45,0.55,0.66,0.55,0.20,0.25,0.34,0.45";"1484336344"
"birthday hairstyles";"30";"48";"1600";"73.06";"0.00";"http://hairstylefoto.com/birthday-girl-hairstyles/";"0.19";"0.00";"0.04";"20600000";"0.84,0.84,0.84,0.68,1.00,0.84,1.00,0.84,0.84,0.46,1.00,1.00";"1484343571"
"cute black boys";"46";"66";"9900";"82.91";"2.25";"http://hairstylefoto.com/cute-little-black-boy/";"0.19";"0.79";"0.05";"11800000";"0.82,0.82,0.82,0.82,1.00,0.82,0.67,0.67,0.67,0.82,0.82,0.82";"1485385650"
"cute 10 year old haircuts";"11";"0";"50";"80.07";"0.00";"http://hairstylefoto.com/8-year-old-girl-haircuts/";"0.19";"0.00";"0.19";"3470000";"0.78,0.11,0.33,1.00,0.33,0.22,0.56,0.22,0.56,1.00,1.00,0.11";"1482368259"
"haircuts for girls";"49";"0";"8100";"82.60";"2.27";"http://hairstylefoto.com/bob-haircuts-for-girls/";"0.19";"0.66";"0.09";"3390000";"0.67,0.55,0.55,0.67,0.82,1.00,0.45,0.45,0.55,0.55,0.67,0.67";"1485357227"
"short anime hairstyles";"12";"16";"170";"83.39";"0.00";"http://hairstylefoto.com/short-anime-hairstyles-for-girls/";"0.19";"0.00";"0.00";"48700000";"0.44,0.66,0.34,0.44,1.00,1.00,0.66,0.44,0.22,0.28,0.44,0.44";"1482816752"
"cute haircuts for 8 year old girls";"10";"0";"90";"84.11";"0.00";"http://hairstylefoto.com/8-year-old-girl-haircuts/";"0.19";"0.00";"0.44";"4200000";"0.22,0.78,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.78";"1481941268"
"anime girls with short black hair";"10";"0";"90";"79.93";"0.00";"http://hairstylefoto.com/anime-girl-with-short-black-hair/anime-girl-with-short-black-hair-photo-1/";"0.19";"0.00";"0.00";"16300000";"0.64,0.50,0.79,1.00,0.79,0.79,0.79,0.64,0.36,0.50,0.50,0.36";"1482885066"
"cute 12 year old boy";"25";"22";"1600";"94.42";"0.00";"http://hairstylefoto.com/cute-12-year-old-boys/";"0.19";"0.00";"0.05";"18900000";"0.11,0.13,0.09,0.13,0.13,0.13,0.09,0.23,0.82,1.00,1.00,0.82";"1484336706"
"cute haircuts for 8 year olds";"8";"0";"70";"79.84";"0.00";"http://hairstylefoto.com/8-year-old-girl-haircuts/";"0.19";"0.00";"0.00";"27500000";"0.33,1.00,0.44,0.11,0.44,0.11,0.78,0.78,0.22,0.44,0.44,0.44";"1482107497"
"waterfall hairstyle black hair";"5";"5";"40";"74.79";"0.00";"http://hairstylefoto.com/waterfall-hairstyle-black-hair/";"0.19";"0.00";"0.03";"7290000";"0.11,0.22,0.22,0.11,0.22,0.44,0.44,0.33,0.78,1.00,0.56,0.33";"1483054835"
"cute 10 year old boys";"18";"0";"880";"93.09";"0.00";"http://hairstylefoto.com/cute-10-year-old-boy/";"0.19";"0.00";"0.12";"16300000";"1.00,1.00,1.00,0.88,0.88,0.72,0.88,0.88,0.59,0.48,0.59,0.48";"1484352866"
