Keyword;Search Volume;Keyword Difficulty Index;CPC;Url;Traffic Cost (%);Competition;Number of Results;Trends
"peek a boo highlights on short hair";"90";"81.79";"0.00";"http://hairstylefoto.com/peekaboo-highlights-for-short-hair/";"0.00";"0.09";"1100000";"0.36,1.00,0.36,0.18,0.10,0.13,0.08,0.05,0.13,0.13,0.18,0.08"
"long hairstyles back view";"70";"72.07";"0.00";"http://hairstylefoto.com/layered-long-hairstyles-back-view/";"0.00";"0.02";"63100000";"0.64,0.64,0.64,0.45,1.00,0.64,0.64,0.64,0.45,0.64,0.45,0.64"
"black guy with blue eyes";"1300";"76.70";"0.00";"http://hairstylefoto.com/black-guys-with-blue-eyes/";"0.00";"0.03";"14000000";"0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.81"
"long quick weave hairstyles";"390";"79.28";"0.00";"http://hairstylefoto.com/long-quick-weave-hairstyles-pictures/";"0.00";"0.17";"674000";"0.44,0.29,0.36,0.82,1.00,0.54,0.24,0.44,0.82,1.00,0.67,0.29"
"black n red hair";"70";"82.55";"0.00";"http://hairstylefoto.com/black-n-red-hair/";"0.00";"0.10";"38600000";"0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,1.00,0.78"
"bob hairstyles weave";"1000";"79.53";"0.00";"http://hairstylefoto.com/short-weave-bob-hairstyles/";"0.00";"0.07";"0";"0.37,0.20,0.54,0.54,0.67,0.25,0.20,0.20,0.67,1.00,0.54,0.11"
"bob sew in hairstyles";"1000";"77.43";"0.03";"http://hairstylefoto.com/short-bob-sew-in-weave-hairstyles/";"0.00";"0.24";"0";"0.79,0.54,0.67,0.16,0.25,0.37,0.20,0.79,1.00,0.37,0.30,0.20"
"sassy haircuts for fine hair";"70";"73.09";"1.13";"http://hairstylefoto.com/short-sassy-haircuts-for-fine-hair/";"0.37";"0.35";"2460000";"0.24,0.24,0.43,0.19,0.43,0.05,0.10,0.33,1.00,0.19,0.19,0.24"
"8 year old girl haircuts";"70";"70.29";"3.70";"http://hairstylefoto.com/8-year-old-girl-haircuts/";"1.50";"0.13";"3020000";"0.24,0.24,0.24,0.33,0.52,1.00,0.19,0.19,0.24,0.19,0.33,0.33"
"cute haircuts for 10 year old girls";"70";"77.95";"0.00";"http://hairstylefoto.com/8-year-old-girl-haircuts/";"0.00";"0.20";"3450000";"0.24,0.24,0.19,0.05,0.19,0.05,0.33,0.33,0.10,0.19,1.00,0.10"
"long stacked bob";"1000";"80.74";"0.09";"http://hairstylefoto.com/long-stacked-bob-hairstyles/";"0.00";"0.02";"0";"0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.68,0.77,0.77,0.77,1.00"
"tapered long hair";"110";"75.98";"0.00";"http://hairstylefoto.com/tapered-long-hair/";"0.00";"0.00";"584000";"0.67,0.67,0.67,0.67,0.52,1.00,0.67,0.52,0.24,0.43,0.43,0.52"
"flapper hairstyles long hair";"70";"69.33";"0.00";"http://hairstylefoto.com/1920s-flapper-hairstyles-for-long-hair/";"0.00";"0.21";"985000";"0.04,0.06,0.02,0.02,0.02,0.04,0.15,1.00,0.06,0.04,0.02,0.04"
"13 year old hairstyles for girls";"70";"88.50";"0.00";"http://hairstylefoto.com/13-year-old-girl-hairstyles/";"0.00";"0.00";"4980000";"0.33,0.56,0.56,0.22,0.56,0.11,1.00,0.44,1.00,0.22,0.22,0.56"
"curly anime hair";"390";"79.35";"0.00";"http://hairstylefoto.com/anime-girls-with-curly-hair/";"0.00";"0.04";"6850000";"0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.81,0.81,1.00,1.00"
"8 year old girl haircut";"90";"85.52";"0.00";"http://hairstylefoto.com/8-year-old-girl-haircuts/";"0.00";"0.01";"3350000";"0.08,0.12,0.04,0.15,0.04,0.27,0.12,0.08,0.27,0.04,1.00,0.35"
"long hair on top short on sides";"1000";"74.07";"0.00";"http://hairstylefoto.com/long-on-top-short-on-sides-hairstyles-for-men/";"0.00";"0.02";"6470000";"0.67,0.37,0.11,0.13,0.79,0.79,1.00,0.67,0.37,0.37,0.25,0.30"
"wrap hairstyles";"720";"79.05";"1.18";"http://hairstylefoto.com/black-roller-wrap-hairstyles/";"0.50";"0.13";"1220000";"0.68,0.25,0.55,0.37,0.68,0.77,0.68,0.45,0.30,0.25,0.55,1.00"
"straight weave hairstyles";"1300";"74.34";"0.07";"http://hairstylefoto.com/black-straight-weave-hairstyles/";"0.00";"0.79";"1060000";"0.46,0.68,0.84,0.84,0.68,0.84,0.84,0.84,0.84,1.00,0.68,0.53"
"black 70s hairstyles";"70";"81.19";"0.00";"http://hairstylefoto.com/black-70s-hairstyles/";"0.00";"0.03";"15600000";"0.29,0.18,0.29,0.41,0.53,0.53,0.53,1.00,0.53,0.24,0.29,0.53"
"short black hair anime girl";"70";"84.05";"0.00";"http://hairstylefoto.com/anime-girl-with-short-black-hair/";"0.00";"0.03";"7480000";"0.01,0.03,0.03,0.07,0.03,0.04,1.00,0.04,0.12,0.03,0.03,0.10"
"1920s long hairstyles";"390";"79.63";"0.11";"http://hairstylefoto.com/1920s-long-hairstyles/";"0.00";"0.09";"8390000";"1.00,1.00,0.81,0.54,0.54,0.54,0.81,1.00,0.29,0.66,0.54,0.54"
"wedge haircuts";"720";"79.21";"0.41";"http://hairstylefoto.com/short-wedge-haircut/";"0.12";"0.42";"545000";"1.00,1.00,1.00,0.82,1.00,1.00,1.00,1.00,0.67,0.82,0.82,0.82"
"hairstyles 13 year olds";"70";"88.01";"0.00";"http://hairstylefoto.com/13-year-old-girl-hairstyles/";"0.00";"0.00";"985000";"0.56,0.44,0.78,0.33,0.78,0.11,0.44,0.56,0.11,0.78,0.78,1.00"
"dutch boy hair";"70";"77.18";"0.00";"http://hairstylefoto.com/dutch-boy-hairstyle/";"0.00";"0.00";"1920000";"0.29,0.29,0.29,0.29,0.29,0.41,0.41,0.65,0.41,0.41,0.53,1.00"
"cute black kid";"110";"86.44";"0.00";"http://hairstylefoto.com/cute-black-kid/";"0.00";"0.08";"49600000";"1.00,0.79,0.64,0.79,0.79,0.64,0.64,0.64,0.50,0.79,0.79,0.64"
"27 piece hairstyle";"1000";"71.44";"0.17";"http://hairstylefoto.com/long-27-piece-quick-weave-hairstyles/";"0.00";"0.97";"1030000";"0.11,0.55,0.55,0.20,0.17,0.11,0.20,0.55,1.00,0.25,0.25,0.17"
"anime long hairstyles";"70";"71.94";"0.00";"http://hairstylefoto.com/anime-long-hairstyles/";"0.00";"0.00";"3410000";"0.45,0.64,0.82,0.82,1.00,1.00,0.45,0.64,0.45,0.82,0.82,0.64"
"emo hairstyles for girls";"12100";"77.24";"0.18";"http://hairstylefoto.com/short-emo-hairstyles-for-girls/";"0.00";"0.04";"12800000";"1.00,1.00,0.82,0.82,1.00,1.00,0.67,0.67,0.55,0.55,0.55,0.45"
"long straight sew in";"70";"79.74";"1.73";"http://hairstylefoto.com/long-straight-sew-in-hairstyles/";"0.62";"0.05";"3540000";"0.79,0.79,0.29,0.29,0.50,0.36,0.36,0.36,0.50,0.79,0.64,1.00"
"11 year old boy hairstyles";"70";"60.94";"4.53";"http://hairstylefoto.com/11-year-old-boy-haircuts/";"1.87";"0.07";"5760000";"1.00,0.36,0.64,0.45,1.00,0.82,0.45,0.45,0.45,0.27,0.45,0.64"
"black barbershop chart";"50";"50.57";"0.00";"http://hairstylefoto.com/black-barbershop-haircut-chart/";"0.00";"0.06";"29000000";"0.78,0.44,1.00,0.33,1.00,0.11,0.56,0.56,0.22,1.00,1.00,1.00"
"black teenage hairstyles 2012";"90";"79.97";"0.00";"http://hairstylefoto.com/black-teenage-hairstyles-for-school/";"0.00";"0.36";"6850000";"0.57,0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.14,0.71,0.71,0.71"
"black teenage hairstyles 2012";"90";"79.97";"0.00";"http://hairstylefoto.com/black-teenage-braided-hairstyles/";"0.00";"0.36";"6850000";"0.57,0.71,0.14,0.57,0.14,1.00,0.43,1.00,0.14,0.71,0.71,0.71"
"black updo hairstyles";"1600";"74.78";"0.26";"http://hairstylefoto.com/black-updo-hairstyles/";"0.00";"0.34";"26800000";"0.55,1.00,0.83,0.34,0.45,0.55,0.66,0.55,0.20,0.25,0.34,0.45"
"birthday hairstyles";"1600";"73.06";"0.00";"http://hairstylefoto.com/birthday-girl-hairstyles/";"0.00";"0.04";"20600000";"0.84,0.84,0.84,0.68,1.00,0.84,1.00,0.84,0.84,0.46,1.00,1.00"
"cute black boys";"9900";"82.91";"2.25";"http://hairstylefoto.com/cute-little-black-boy/";"0.75";"0.05";"11800000";"0.82,0.82,0.82,0.82,1.00,0.82,0.67,0.67,0.67,0.82,0.82,0.82"
"cute 10 year old haircuts";"50";"80.07";"0.00";"http://hairstylefoto.com/8-year-old-girl-haircuts/";"0.00";"0.19";"3470000";"0.78,0.11,0.33,1.00,0.33,0.22,0.56,0.22,0.56,1.00,1.00,0.11"
"short anime hairstyles";"170";"83.39";"0.00";"http://hairstylefoto.com/short-anime-hairstyles-for-girls/";"0.00";"0.00";"48700000";"0.44,0.66,0.34,0.44,1.00,1.00,0.66,0.44,0.22,0.28,0.44,0.44"
"cute haircuts for 8 year old girls";"90";"84.11";"0.00";"http://hairstylefoto.com/8-year-old-girl-haircuts/";"0.00";"0.44";"4200000";"0.22,0.78,0.78,0.33,0.78,1.00,0.11,0.56,0.11,0.33,0.33,0.78"
"anime girls with short black hair";"90";"79.93";"0.00";"http://hairstylefoto.com/anime-girl-with-short-black-hair/anime-girl-with-short-black-hair-photo-1/";"0.00";"0.00";"16300000";"0.64,0.50,0.79,1.00,0.79,0.79,0.79,0.64,0.36,0.50,0.50,0.36"
"cute 12 year old boy";"1600";"94.42";"0.00";"http://hairstylefoto.com/cute-12-year-old-boys/";"0.00";"0.05";"18900000";"0.11,0.13,0.09,0.13,0.13,0.13,0.09,0.23,0.82,1.00,1.00,0.82"
"cute haircuts for 8 year olds";"70";"79.84";"0.00";"http://hairstylefoto.com/8-year-old-girl-haircuts/";"0.00";"0.00";"27500000";"0.33,1.00,0.44,0.11,0.44,0.11,0.78,0.78,0.22,0.44,0.44,0.44"
"waterfall hairstyle black hair";"40";"74.79";"0.00";"http://hairstylefoto.com/waterfall-hairstyle-black-hair/";"0.00";"0.03";"7290000";"0.11,0.22,0.22,0.11,0.22,0.44,0.44,0.33,0.78,1.00,0.56,0.33"
"cute 10 year old boys";"880";"93.09";"0.00";"http://hairstylefoto.com/cute-10-year-old-boy/";"0.00";"0.12";"16300000";"1.00,1.00,1.00,0.88,0.88,0.72,0.88,0.88,0.59,0.48,0.59,0.48"
"cute tomboy hairstyles";"70";"75.32";"0.00";"http://hairstylefoto.com/cute-tomboy-hairstyles/";"0.00";"0.01";"2170000";"1.00,1.00,1.00,1.00,0.56,0.56,0.56,0.44,0.56,0.56,0.56,0.78"
"roller wraps hairstyle";"50";"69.89";"0.00";"http://hairstylefoto.com/black-roller-wrap-hairstyles/";"0.00";"0.30";"1970000";"0.57,0.71,0.43,0.43,0.57,0.71,0.71,0.71,0.71,1.00,1.00,0.71"
"1920s hairstyles for long hair flappers";"50";"70.49";"0.16";"http://hairstylefoto.com/1920s-flapper-hairstyles-for-long-hair/";"0.00";"0.02";"295000";"0.36,0.21,0.14,0.14,0.14,0.29,0.36,1.00,0.29,0.64,0.64,0.64"
"roaring 20s hairstyles";"320";"79.76";"0.00";"http://hairstylefoto.com/roaring-20s-long-hairstyles/";"0.00";"0.21";"424000";"0.66,0.81,0.54,0.08,0.24,0.36,0.81,0.81,0.24,1.00,0.54,0.19"
"roaring 20s hairstyles";"320";"79.76";"0.00";"http://hairstylefoto.com/roaring-20s-hairstyles-for-long-hair/";"0.00";"0.21";"424000";"0.66,0.81,0.54,0.08,0.24,0.36,0.81,0.81,0.24,1.00,0.54,0.19"
"anime curly hair boy";"50";"79.44";"0.00";"http://hairstylefoto.com/anime-girls-with-curly-hair/";"0.00";"0.00";"2680000";"0.71,0.71,1.00,0.71,0.57,0.71,0.43,0.14,0.71,0.57,0.71,1.00"
"curly stacked bob";"320";"78.22";"0.00";"http://hairstylefoto.com/short-curly-stacked-bob-hairstyles/";"0.00";"0.03";"0";"0.81,0.81,0.67,0.81,1.00,0.67,0.67,0.67,0.67,0.54,0.67,0.81"
"sweet 15 hairstyles for long hair";"40";"68.88";"0.00";"http://hairstylefoto.com/sweet-15-hairstyles-for-long-hair/";"0.00";"0.01";"1270000";"0.56,0.78,0.44,0.22,0.33,0.22,0.22,0.11,0.56,0.56,1.00,0.56"
"black and gold ombre hair";"50";"80.60";"0.00";"http://hairstylefoto.com/black-and-gold-ombre-hair/";"0.00";"0.00";"22400000";"1.00,0.71,0.43,0.71,0.71,0.71,0.71,0.57,0.71,1.00,0.71,0.71"
"sew in bob";"8100";"70.41";"1.60";"http://hairstylefoto.com/short-sew-in-bob/";"0.37";"0.05";"520000";"0.11,0.01,1.00,0.45,1.00,0.30,0.16,0.13,0.30,0.45,0.45,0.09"
"hairstyles for black girls";"9900";"84.74";"3.58";"http://hairstylefoto.com/braiding-hairstyles-for-black-girls/";"1.25";"0.14";"3170000";"0.55,0.55,0.55,0.67,0.67,0.82,0.67,0.82,1.00,0.82,1.00,0.67"
"prom hairstyles tumblr";"720";"75.85";"0.00";"http://hairstylefoto.com/prom-hairstyles-for-short-hair-tumblr/";"0.00";"0.05";"0";"0.54,1.00,0.79,0.20,0.06,0.07,0.09,0.09,0.07,0.06,0.13,0.13"
"prom hairstyles tumblr";"720";"75.85";"0.00";"http://hairstylefoto.com/prom-hairstyles-for-long-hair-tumblr/";"0.00";"0.05";"0";"0.54,1.00,0.79,0.20,0.06,0.07,0.09,0.09,0.07,0.06,0.13,0.13"
"sexy darkskin boys";"70";"80.65";"0.00";"http://hairstylefoto.com/sexy-dark-skin-boys/";"0.00";"0.00";"17400000";"0.56,0.11,0.11,0.44,0.11,1.00,0.78,0.22,0.78,0.44,0.44,0.11"
"anime girl short hairstyles";"70";"73.23";"0.00";"http://hairstylefoto.com/anime-girl-with-short-black-hair/";"0.00";"0.00";"10800000";"0.78,0.78,0.78,0.78,0.78,0.78,0.56,0.56,0.44,0.56,1.00,0.78"
"little black boys haircuts";"320";"74.58";"0.11";"http://hairstylefoto.com/little-black-boys-haircuts/";"0.00";"0.07";"1720000";"0.67,0.67,0.54,0.54,0.67,0.81,0.67,0.67,0.67,1.00,1.00,0.67"
